OBEC,OKRES,PSC
Bukovina,Liptovský Mikuláš,032 23
Bulhary,Lučenec,986 01
Bunetice,Košice - okolie,044 47
Bunkovce,Sobrance,072 44
Bušince,Veľký Krtíš,991 22
Bušovce,Kežmarok,059 93
Buzica,Košice - okolie,044 73
Buzitka,Lučenec,985 41
Bystrá,Stropkov,090 23
Bystrá,Brezno,977 01
Bystrany,Spišská Nová Ves,053 62
Bystré,Vranov nad Topľou,094 34
Bystričany,Prievidza,972 45
Bystrička,Martin,038 04
Byšta,Trebišov,076 13
Bytča,Bytča,014 01
Bzenica,Žiar nad Hronom,966 01
Bzenica,Žiar nad Hronom,966 02
Bzenov,Prešov,082 42
Bzince pod Javorinou,Nové Mesto n.Váhom,916 11
Bziny,Dolný Kubín,026 01
Bzovík,Krupina,962 41
Bzovská Lehôtka,Zvolen,962 62
Bžany,Stropkov,090 33
Cabaj-Čápor,Nitra,951 17
Cabov,Vranov nad Topľou,094 14
Cakov,Rimavská Sobota,980 42
Cejkov,Trebišov,076 05
Cernina,Svidník,090 16
Cerová,Senica,906 33
Cerovo,Krupina,962 52
Cestice,Košice - okolie,044 71
Cífer,Trnava,919 43
Cigeľ,Prievidza,971 01
Cigeľka,Bardejov,086 02
Cigla,Svidník,086 37
Cimenná,Bánovce nad Bebravou,956 37
Cinobaňa,Poltár,985 22
Cinobaňa-Žihľava,Poltár,985 45
Čab,Nitra,951 24
Čabalovce,Medzilaborce,067 16
Čabiny,Medzilaborce,067 02
Čabradský Vrbovok,Krupina,962 51
Čadca,Čadca,
Čachtice,Nové Mesto n.Váhom,916 21
Čajkov,Levice,935 24
Čaka,Levice,935 68
Čakajovce,Nitra,951 43
Čakanovce,Košice - okolie,044 45
Čakanovce,Lučenec,985 58
Čakany,Dunajská Streda,930 40
Čaklov,Vranov nad Topľou,094 35
Čalovec,Komárno,946 02
Čamovce,Lučenec,986 01
Čaňa,Košice - okolie,044 14
Čaradice,Zlaté Moravce,953 01
Čáry,Senica,908 43
Častá,Pezinok,900 89
Častkov,Senica,906 04
Častkovce,Nové Mesto n.Váhom,916 27
Čata,Levice,935 63
Čataj,Senec,900 83
Čavoj,Prievidza,972 29
Čebovce,Veľký Krtíš,991 25
Čečehov,Michalovce,072 11
Čečejovce,Košice - okolie,044 71
Čechy,Nové Zámky,941 32
Čechynce,Nitra,951 07
Čekovce,Krupina,
Čeľadice,Nitra,951 03
Čeľadince,Topoľčany,956 16
Čeláre,Veľký Krtíš,991 22
Čelkova Lehota,Považská Bystrica,018 16
Čelovce,Prešov,082 14
Čelovce,Veľký Krtíš,991 41
Čeľovce,Trebišov,076 17
Čenkovce,Dunajská Streda,930 39
Čereňany,Prievidza,972 46
Čerenčany,Rimavská Sobota,979 01
Čerhov,Trebišov,076 81
Čerín,Banská Bystrica,974 01
Čermany,Topoľčany,956 08
Černík,Nové Zámky,941 05
Černina,Humenné,067 23
Černochov,Trebišov,076 32
Čertižné,Medzilaborce,067 52
Červená Voda,Sabinov,083 01
Červeňany,Veľký Krtíš,991 01
Červenica,Prešov,082 07
Červenica pri Sabin.,Sabinov,082 56
Červeník,Hlohovec,920 42
Červený Hrádok,Zlaté Moravce,951 82
Červený Kameň,Ilava,018 56
Červený Kláštor,Kežmarok,059 06
České Brezovo,Poltár,985 03
Čičarovce,Michalovce,076 71
Čičava,Vranov nad Topľou,093 01
Čičmany,Žilina,013 15
Číčov,Komárno,946 19
Čierna,Trebišov,076 43
Čierna Lehota,Rožňava,049 36
Čierna Lehota,Bánovce nad Bebravou,956 53
Čierna nad Tisou,Trebišov,076 43
Čierna Voda,Galanta,925 06
Čierne,Čadca,023 13
Čierne Kľačany,Zlaté Moravce,953 05
Čierne nad Topľou,Vranov nad Topľou,094 34
Čierne Pole,Michalovce,079 01
Čierny Balog,Brezno,976 52
Čierny Brod,Galanta,925 08
Čierny Potok,Rimavská Sobota,980 31
Čifáre,Nitra,951 61
Čiližská Radvaň,Dunajská Streda,930 08
Čimhová,Tvrdošín,027 12
Čirč,Stará Ľubovňa,065 42
Číž,Rimavská Sobota,980 43
Čižatice,Košice - okolie,044 47
Čoltovo,Rožňava,049 12
Čremošné,Turčianske Teplice,039 01
Čučma,Rožňava,048 01
Čukalovce,Snina,067 35
Ďačov,Sabinov,082 71
Dačov Lom,Veľký Krtíš,991 35
Daletice,Sabinov,082 63
Danišovce,Spišská Nová Ves,053 22
Ďanová,Martin,038 42
Ďapalovce,Vranov nad Topľou,094 05
Dargov,Trebišov,076 61
Davidov,Vranov nad Topľou,093 03
Debraď,Košice - okolie,045 01
Dedačov,Humenné,067 12
Dedina Mládeže,Komárno,946 03
Dedinka,Nové Zámky,941 50
Dedinky,Rožňava,049 73
Dechtice,Trnava,919 53
Dekýš,Banská Štiavnica,969 01
Demandice,Levice,935 85
Demänovská Dolina,Liptovský Mikuláš,031 01
Demjata,Prešov,082 13
Detrík,Vranov nad Topľou,094 31
Detva,Detva,962 12
Detvianska Huta,Detva,962 05
Devičany,Levice,935 04
Devičie,Krupina,962 65
Dežerice,Bánovce nad Bebravou,957 03
Diaková,Martin,038 02
Diakovce,Šaľa,925 81
Diviacka Nová Ves,Prievidza,972 24
Diviaky nad Nitricou,Prievidza,972 25
Divín,Lučenec,985 52
Divina,Žilina,013 31
Divinka,Žilina,013 31
Dlhá,Trnava,919 01
Dlhá nad Kysucou,Čadca,023 54
Dlhá nad Oravou,Dolný Kubín,027 55
Dlhá nad Váhom,Šaľa,927 05
Dlhá Ves,Rožňava,049 55
Dlhé Klčovo,Vranov nad Topľou,094 13
Dlhé nad Cirochou,Snina,067 82
Dlhé Pole,Žilina,013 32
Dlhé Stráže,Levoča,054 01
