OBEC,OKRES,PSC
Mokrá Lúka,Revúca,050 01
Mokrance,Košice - okolie,045 01
Mokroluh,Bardejov,086 01
Mokrý Háj,Skalica,908 65
Moldava nad Bodvou,Košice - okolie,045 01
Moravany,Michalovce,072 03
Moravany nad Váhom,Piešťany,922 21
Moravské Lieskové,Nové Mesto n.Váhom,916 42
Moravský Svätý Ján,Senica,908 71
Most pri Bratislave,Senec,900 46
Mostová,Galanta,925 07
Moškovec,Turčianske Teplice,038 44
Mošovce,Turčianske Teplice,038 21
Moštenica,Banská Bystrica,976 13
Mošurov,Prešov,082 67
Motešice,Trenčín,913 26
Motyčky,Banská Bystrica,976 02
Môlča,Banská Bystrica,974 01
Mrázovce,Stropkov,090 34
Mučín,Lučenec,985 31
Mudroňovo,Komárno,946 32
Mudrovce,Košice - okolie,044 47
Muľa,Veľký Krtíš,991 22
Muľa-Hámor,Veľký Krtíš,991 02
Muráň,Revúca,049 01
Muránska Dlhá Lúka,Revúca,050 01
Muránska Huta,Revúca,049 01
Muránska Lehota,Revúca,049 01
Muránska Zdychava,Revúca,050 01
Mútne,Námestovo,029 63
Mužla,Nové Zámky,943 52
Myjava,Myjava,
Myslina,Humenné,066 01
Mýtna,Lučenec,985 53
Mýtne Ludany,Levice,935 56
Mýto pod Ďumbierom,Brezno,976 44
Nacina Ves,Michalovce,
Nadlice,Partizánske,956 32
Ňagov,Medzilaborce,068 01
Naháč,Trnava,919 65
Nálepkovo,Gelnica,053 33
Námestovo,Námestovo,
Nána,Nové Zámky,943 60
Nandraž,Revúca,049 61
Ňárad,Dunajská Streda,930 06
Necpaly,Martin,038 12
Necpaly,Martin,038 40
Nedanovce,Partizánske,958 43
Nedašovce,Bánovce nad Bebravou,956 35
Neded,Šaľa,925 85
Nededza,Žilina,013 02
Nedožery - Brezany,Prievidza,972 12
Nechválova Polianka,Humenné,067 33
Nemce,Banská Bystrica,974 01
Nemcovce,Prešov,082 12
Nemcovce,Bardejov,086 12
Nemčice,Topoľčany,955 01
Nemčiňany,Zlaté Moravce,951 81
Nemecká,Brezno,976 97
Nemečky,Topoľčany,956 22
Nemešany,Levoča,053 02
Nemšová,Trenčín,914 41
Nenince,Veľký Krtíš,991 26
Neporadza,Trenčín,913 26
Neporadza,Rimavská Sobota,980 45
Nesluša,Kysucké Nové Mesto,023 41
Nesvady,Komárno,946 51
Neverice,Zlaté Moravce,951 72
Nevidzany,Zlaté Moravce,951 62
Nevidzany,Prievidza,972 27
Nevoľné,Žiar nad Hronom,967 01
Nezbudská Lúčka,Žilina,013 24
Nimnica,Púchov,020 71
Nitra,Nitra,
Nitra nad Ipľom,Lučenec,985 57
Nitrianska Blatnica,Topoľčany,956 05
Nitrianska Streda,Topoľčany,956 16
Nitrian.Hrnčiarovce,Nitra,
Nitrianske Pravno,Prievidza,972 13
Nitrianske Rudno,Prievidza,972 26
Nitrianske Sučany,Prievidza,972 21
Nitrica,Prievidza,972 22
Nižná,Tvrdošín,027 43
Nižná,Piešťany,922 06
Nižná Boca,Liptovský Mikuláš,032 34
Nižná Hutka,Košice - okolie,040 18
Nižná Jablonka,Humenné,067 34
Nižná Jedľová,Svidník,089 01
Nižná Kamenica,Košice - okolie,044 45
Nižná Myšľa,Košice - okolie,044 15
Nižná Olšava,Stropkov,090 32
Nižná Pisaná,Svidník,090 01
Nižná Polianka,Bardejov,086 36
Nižná Rybnica,Sobrance,073 01
Nižná Sitnica,Humenné,094 07
Nižná Slaná,Rožňava,049 23
Nižná Voľa,Bardejov,086 21
Nižné Ladičkovce,Humenné,067 11
Nižné Nemecké,Sobrance,072 52
Nižné Repaše,Levoča,053 71
Nižné Ružbachy,Stará Ľubovňa,065 02
Nižné Valice,Rimavská Sobota,982 52
Nižný Čaj,Košice - okolie,044 16
Nižný Hrabovec,Vranov nad Topľou,094 21
Nižný Hrušov,Vranov nad Topľou,094 22
Nižný Klátov,Košice - okolie,044 12
Nižný Komárnik,Svidník,090 05
Nižný Kručov,Vranov nad Topľou,093 01
Nižný Lánec,Košice - okolie,044 73
Nižný Mirošov,Svidník,090 11
Nižný Orlík,Svidník,090 11
Nižný Skálnik,Rimavská Sobota,980 52
Nižný Slavkov,Sabinov,082 75
Nižný Tvarožec,Bardejov,086 02
Nižný Žipov,Trebišov,076 17
Nolčovo,Martin,038 54
Norovce,Topoľčany,956 38
Nová Baňa,Žarnovica,968 01
Nová Bašta,Rimavská Sobota,980 34
Nová Bošáca,Nové Mesto n.Váhom,913 08
Nová Bystrica,Čadca,023 05
Nová Dedina,Levice,
Nová Dedinka,Senec,900 29
Nová Dubnica,Ilava,018 51
Nová Kelča,Vranov nad Topľou,094 04
Nová Lehota,Nové Mesto n.Váhom,916 35
Nová Lesná,Poprad,059 86
Nová Ľubovňa,Stará Ľubovňa,065 11
Nová Polhora,Košice - okolie,044 44
Nová Polianka,Svidník,089 01
Nová Sedlica,Snina,067 68
Nová Ves,Veľký Krtíš,991 05
Nová Ves nad Váhom,Nové Mesto n.Váhom,916 31
Nová Ves nad Žitavou,Nitra,951 51
Nová Vieska,Nové Zámky,943 42
Nováčany,Košice - okolie,044 21
Nováky,Prievidza,972 71
Nové Hony,Lučenec,985 42
Nové Mesto nad Váhom,Nové Mesto n.Váhom,915 01
Nové Sady,Nitra,951 24
Nové Zámky,Nové Zámky,940 02
Novosad,Trebišov,076 02
Novoť,Námestovo,
Nový Ruskov,Trebišov,075 01
Nový Salaš,Košice - okolie,044 17
Nový Svet,Senec,903 01
Nový Tekov,Levice,935 33
Nový Život,Dunajská Streda,930 38
Nýrovce,Levice,935 67
Obeckov,Veľký Krtíš,991 05
Obid,Nové Zámky,943 04
Obišovce,Košice - okolie,044 81
Oborín,Michalovce,076 75
Obručné,Stará Ľubovňa,065 42
Obyce,Zlaté Moravce,951 95
Očkov,Nové Mesto n.Váhom,916 22
Očová,Zvolen,
Odorín,Spišská Nová Ves,053 22
Ohrady,Dunajská Streda,
Ohradzany,Humenné,067 22
Ochodnica,Kysucké Nové Mesto,023 35
Ochtiná,Rožňava,049 35
Okoč,Dunajská Streda,930 28
Okoč-Jánošíkovo na Ostrove,Dunajská Streda,930 10
Okoličná na Ostrove,Komárno,946 13
Okrúhle,Svidník,090 42
Okružná,Prešov,082 12
Olcnava,Spišská Nová Ves,053 61
Oľdza,Dunajská Streda,930 39
Olejníkov,Sabinov,082 57
Olešná,Čadca,023 52
Oľka,Medzilaborce,067 04
Olováry,Veľký Krtíš,991 22
Oľšavce,Bardejov,086 46
Oľšavica,Levoča,053 73
Oľšavka,Spišská Nová Ves,053 61
Oľšavka,Stropkov,090 22
Oľšinkov,Medzilaborce,067 16
Oľšov,Sabinov,082 76
Olšovany,Košice - okolie,044 19
Omastiná,Bánovce nad Bebravou,956 41
Omšenie,Trenčín,914 43
Ondavka,Bardejov,086 36
Ondavské Matiašovce,Vranov nad Topľou,094 01
Ondrašová,Turčianske Teplice,038 22
Ondrašovce,Prešov,082 33
Ondrejovce,Levice,935 51
Opátka,Košice - okolie,044 65
Opatovce,Trenčín,913 11
Opatovce nad Nitrou,Prievidza,972 02
Opatovská Nová Ves,Veľký Krtíš,991 07
Opava,Veľký Krtíš,991 25
Opiná,Košice - okolie,044 47
Opoj,Trnava,919 32
Oponice,Topoľčany,956 14
Oravce,Banská Bystrica,976 33
Orávka,Rimavská Sobota,980 42
Oravská Jasenica,Námestovo,029 64
Oravská Lesná,Námestovo,029 57
Oravská Polhora,Námestovo,029 47
Oravská Poruba,Dolný Kubín,027 54
Oravské Veselé,Námestovo,029 62
Oravský Biely Potok,Tvrdošín,027 42
Oravský Podzámok,Dolný Kubín,027 41
Ordzovany,Levoča,053 06
Orechová,Sobrance,072 51
Orechová Potôň,Dunajská Streda,930 02
Orechová Potôň-Lúky,Dunajská Streda,930 52
Oreské,Michalovce,072 23
Oreské,Skalica,908 63
Orešany,Topoľčany,956 06
Orlov,Stará Ľubovňa,065 43
Orovnica,Žarnovica,966 52
Ortuťová,Bardejov,086 12
Osádka,Dolný Kubín,026 01
Osadné,Snina,067 34
Osikov,Bardejov,086 42
Oslany,Prievidza,972 47
Osrblie,Brezno,976 45
Ostrá Lúka,Zvolen,962 61
Ostratice,Partizánske,956 34
Ostrov,Sobrance,072 55
Ostrov,Piešťany,922 01
Ostrovany,Sabinov,082 22
Ostrý Grúň,Žarnovica,966 77
Osturňa,Kežmarok,059 79
Osuské,Senica,906 12
Oščadnica,Čadca,023 01
Otrhánky,Bánovce nad Bebravou,956 55
Otročok,Revúca,982 62
Ovčiarsko,Žilina,010 04
Ovčie,Prešov,082 38
Ozdín,Poltár,985 24
Ožďany,Rimavská Sobota,
Pača,Rožňava,049 41
Padáň,Dunajská Streda,929 01
Padarovce,Rimavská Sobota,980 23
Pakostov,Humenné,094 07
Palárikovo,Nové Zámky,941 11
Palín,Michalovce,072 13
Palota,Medzilaborce,068 01
Paňa,Nitra,951 05
Panické Dravce,Lučenec,985 32
Paňovce,Košice - okolie,044 71
Papín,Humenné,067 33
Papradno,Považská Bystrica,018 13
Parchovany,Trebišov,076 62
Parihuzovce,Snina,067 35
Párnica,Dolný Kubín,026 01
Partizánska Ľupča,Liptovský Mikuláš,032 15
Partizánske,Partizánske,
Pastovce,Levice,935 74
Pastuchov,Hlohovec,920 63
Pašková,Rožňava,049 32
Paština Závada,Žilina,013 41
Pata,Galanta,925 53
Pataš,Dunajská Streda,929 01
Patince,Komárno,946 39
Pavčina Lehota,Liptovský Mikuláš,031 01
Pavľany,Levoča,053 71
Pavlice,Trnava,919 42
Pavlová,Nové Zámky,943 59
Pavlova Ves,Liptovský Mikuláš,032 21
Pavlovce,Vranov nad Topľou,094 31
Pavlovce,Rimavská Sobota,980 01
Pavlovce nad Uhom,Michalovce,072 14
Pažiť,Partizánske,958 03
Pčoliné,Snina,067 35
Pečeňady,Piešťany,922 07
Pečeňany,Bánovce nad Bebravou,956 36
Pečenice,Levice,935 03
Pečovská Nová Ves,Sabinov,082 56
Peder,Košice - okolie,044 05
Perín - Chym,Košice - okolie,044 74
Pernek,Malacky,900 53
Petkovce,Vranov nad Topľou,094 33
Petrikovce,Michalovce,072 06
Petrová,Bardejov,086 02
Petrova Lehota,Trenčín,913 26
Petrova Ves,Skalica,908 44
Petrovany,Prešov,082 53
Petrovce,Sobrance,072 62
Petrovce,Vranov nad Topľou,094 31
Petrovce,Rimavská Sobota,980 35
Petrovce n/Laborcom,Michalovce,071 01
Petrovice,Bytča,013 53
Petrovo,Rožňava,049 35
Pezinok,Pezinok,
Piešťany,Piešťany,921 01
Pichne,Snina,069 01
Píla,Pezinok,900 89
Píla,Žarnovica,966 81
Píla,Lučenec,985 53
Pinciná,Lučenec,984 01
Pinkovce,Sobrance,072 54
Piskorovce,Vranov nad Topľou,094 05
Pitelová,Žiar nad Hronom,966 11
Plášťovce,Levice,935 82
Plavé Vozokany,Levice,935 69
Plavé Vozokany-Medvecké,Levice,935 41
Plavecké Podhradie,Malacky,906 36
Plavecký Mikuláš,Malacky,906 35
Plavecký Peter,Senica,906 35
Plavecký Štvrtok,Malacky,900 68
Plaveč,Stará Ľubovňa,065 44
Plavnica,Stará Ľubovňa,065 45
Plechotice,Trebišov,075 01
Pleš,Lučenec,985 31
Plešivec,Rožňava,049 11
Plevník - Drienové,Považská Bystrica,018 26
Pliešovce,Zvolen,962 63
Ploské,Košice - okolie,044 44
Ploské,Revúca,982 65
Pobedim,Nové Mesto n.Váhom,916 23
Počarová,Považská Bystrica,018 15
Počúvadlo,Banská Štiavnica,969 01
Podbiel,Tvrdošín,027 42
Podbranč,Senica,906 05
Podbrezová,Brezno,
Podhájska,Nové Zámky,941 48
Podhorany,Kežmarok,059 93
Podhorany,Prešov,082 12
Podhorany,Nitra,951 46
Podhorie,Žilina,013 18
Podhorie,Banská Štiavnica,969 82
Podhoroď,Sobrance,072 64
Podhradie,Martin,038 52
Podhradie,Topoľčany,955 01
Podhradie,Prievidza,972 42
Podhradík,Prešov,080 06
Podkonice,Banská Bystrica,976 13
Podkriváň,Detva,985 51
Podkylava,Myjava,916 16
Podlužany,Levice,935 27
Podlužany,Bánovce nad Bebravou,956 52
Podolie,Nové Mesto n.Váhom,916 22
Podolínec,Stará Ľubovňa,065 03
Podrečany,Lučenec,985 54
Podskalie,Považská Bystrica,018 22
Podtureň,Liptovský Mikuláš,033 01
Podvysoká,Čadca,023 57
Podzámčok,Zvolen,962 61
Pohorelá,Brezno,976 69
Pohranice,Nitra,951 02
Pohronská Polhora,Brezno,976 56
Pohronský Bukovec,Banská Bystrica,976 62
Pohronský Ruskov,Levice,935 62
Pochabany,Bánovce nad Bebravou,956 38
Pokryváč,Dolný Kubín,026 01
Poľanovce,Levoča,053 05
Poľany,Trebišov,076 84
Poliakovce,Bardejov,086 11
Polianka,Myjava,907 01
Polichno,Lučenec,985 13
Polina,Revúca,982 62
Poľný Kesov,Nitra,951 15
Poloma,Sabinov,082 73
Polomka,Brezno,976 66
Poltár,Poltár,987 01
Poluvsie,Prievidza,972 16
Pongrácovce,Levoča,053 05
Poniky,Banská Bystrica,976 33
Poprad,Poprad,
Poproč,Košice - okolie,044 24
Poproč,Rimavská Sobota,982 67
Popudinské Močidľany,Skalica,908 61
Poráč,Spišská Nová Ves,053 23
Poriadie,Myjava,906 22
Porostov,Sobrance,072 55
Poruba,Prievidza,972 11
Poruba p/Vihorlatom,Michalovce,072 32
Porúbka,Žilina,013 11
Porúbka,Humenné,067 41
Porúbka,Sobrance,072 61
Porúbka,Bardejov,086 12
Poša,Vranov nad Topľou,094 21
Potok,Ružomberok,034 83
Potok,Rimavská Sobota,982 67
Potoky,Stropkov,091 01
Potôčky,Stropkov,091 01
Potônske Lúky,Dunajská Streda,930 52
Potvorice,Nové Mesto n.Váhom,916 25
Považany,Nové Mesto n.Váhom,916 26
Považská Bystrica,Považská Bystrica,
Povina,Kysucké Nové Mesto,023 33
Povoda,Dunajská Streda,929 01
Povrazník,Banská Bystrica,976 55
Pozba,Nové Zámky,941 51
Pozdišovce,Michalovce,072 01
Pôtor,Veľký Krtíš,991 03
Praha,Lučenec,985 11
Prakovce,Gelnica,055 62
Prašice,Topoľčany,956 22
Prašník,Piešťany,922 11
Pravenec,Prievidza,972 16
Pravica,Veľký Krtíš,991 21
Pravotice,Bánovce nad Bebravou,956 35
Práznovce,Topoľčany,955 01
Prečín,Považská Bystrica,018 15
Predajná,Brezno,
Predmier,Bytča,013 51
Prenčov,Banská Štiavnica,969 73
Preseľany,Topoľčany,956 12
Prestavlky,Žiar nad Hronom,966 01
Prešov,Prešov,
Príbelce,Veľký Krtíš,991 25
Pribeník,Trebišov,076 51
Pribeta,Komárno,
Pribiš,Dolný Kubín,027 41
Príbovce,Martin,038 42
Pribylina,Liptovský Mikuláš,032 42
Priechod,Banská Bystrica,976 11
Priekopa,Sobrance,072 61
Priepasné,Myjava,906 15
Prietrž,Senica,906 11
Prietržka,Skalica,908 49
Prievaly,Senica,906 34
Prievidza,Prievidza,971 01
Prihradzany,Revúca,049 14
Príkra,Svidník,090 05
Príslop,Snina,067 66
Prituľany,Humenné,094 08
Proč,Prešov,082 14
Prochot,Žiar nad Hronom,966 04
Prosačov,Vranov nad Topľou,094 31
Prosiek,Liptovský Mikuláš,032 23
Prša,Lučenec,985 41
Pruské,Ilava,018 52
Prusy,Bánovce nad Bebravou,957 03
Pružina,Považská Bystrica,018 22
Pstriná,Svidník,090 05
Ptičie,Humenné,
Ptrukša,Michalovce,076 77
Pucov,Dolný Kubín,026 01
Púchov,Púchov,020 01
Pukanec,Levice,935 05
Pusté Čemerné,Michalovce,072 22
Pusté Pole,Stará Ľubovňa,065 41
Pusté Sady,Galanta,925 54
Pusté Úľany,Galanta,925 28
Pušovce,Prešov,082 14
Rabča,Námestovo,029 44
Rabčice,Námestovo,029 45
Rad,Trebišov,076 37
Radatice,Prešov,082 42
Radava,Nové Zámky,941 47
Radimov,Skalica,908 47
Radnovce,Rimavská Sobota,980 42
Radobica,Prievidza,972 48
Radoľa,Kysucké Nové Mesto,023 36
Radoma,Svidník,090 42
Radošina,Topoľčany,956 05
Radošovce,Skalica,908 63
Radošovce,Trnava,919 30
Radôstka,Čadca,023 04
Radvaň nad Dunajom,Komárno,946 38
Radvaň nad Laborcom,Medzilaborce,067 01
Radvanovce,Vranov nad Topľou,094 31
Radzovce,Lučenec,985 58
Rafajovce,Vranov nad Topľou,094 05
Rajčany,Topoľčany,956 32
Rajec,Žilina,015 01
Rajecká Lesná,Žilina,013 15
Rajecké Teplice,Žilina,013 13
Rákoš,Košice - okolie,044 16
Rákoš,Revúca,049 61
Raková,Čadca,023 51
Rakovčík,Svidník,089 01
Rakovec nad Ondavou,Michalovce,072 03
Rakovice,Piešťany,922 08
Rakovnica,Rožňava,049 31
Rakovo,Martin,038 42
Rakša,Turčianske Teplice,039 01
Rakúsy,Kežmarok,059 76
Rakytník,Rimavská Sobota,980 21
Rankovce,Košice - okolie,044 45
Rapovce,Lučenec,985 31
Raslavice,Bardejov,086 41
Rastislavice,Nové Zámky,941 10
Rašice,Revúca,982 62
Ratka,Lučenec,986 01
Ratková,Revúca,982 65
Ratkovce,Hlohovec,920 42
Ratkovo,Martin,038 54
Ratkovská Lehota,Rimavská Sobota,982 65
Ratkovská Suchá,Rimavská Sobota,982 67
Ratkovské Bystré,Revúca,982 66
Ratnovce,Piešťany,922 31
Ratvaj,Sabinov,082 66
Ráztočno,Prievidza,972 31
Ráztočno-Remata,Prievidza,972 51
Ráztoka,Brezno,976 97
Ražňany,Sabinov,082 61
Reca,Senec,
Regetovka,Bardejov,086 33
Rejdová,Rožňava,049 26
Reľov,Kežmarok,059 04
Remeniny,Vranov nad Topľou,094 31
Remetské Hámre,Sobrance,072 41
Renčišov,Sabinov,082 63
Repejov,Medzilaborce,067 04
Repište,Žiar nad Hronom,966 03
Rešica,Košice - okolie,044 73
Rešov,Bardejov,086 21
Revúca,Revúca,050 01
Revúcka Lehota,Revúca,049 18
Riečka,Rimavská Sobota,980 45
Riečka,Banská Bystrica,
Richnava,Gelnica,053 51
Richvald,Bardejov,085 01
Rimavská Baňa,Rimavská Sobota,980 53
Rimavská Seč,Rimavská Sobota,980 42
Rimavská Sobota,Rimavská Sobota,979 01
Rimavské Brezovo,Rimavská Sobota,980 54
Rimavské Janovce,Rimavská Sobota,
Rimavské Zalužany,Rimavská Sobota,980 53
Rišňovce,Nitra,951 21
Rohov,Senica,906 04
Rohovce,Dunajská Streda,930 30
Rohožník,Humenné,094 07
Rohožník,Malacky,906 38
Rochovce,Rožňava,049 36
Rokycany,Prešov,082 41
Rokytov,Bardejov,086 01
Rokytov pri Humennom,Humenné,067 13
Rokytovce,Medzilaborce,068 01
Rosina,Žilina,013 22
Roškovce,Medzilaborce,067 02
Roštár,Rožňava,049 35
Rovensko,Senica,905 01
Rovinka,Senec,900 41
Rovňany,Poltár,985 24
Rovné,Humenné,067 32
Rovné,Svidník,090 16
Rovné,Rimavská Sobota,982 67
Rozhanovce,Košice - okolie,044 42
Rozložná,Rožňava,049 32
Roztoky,Svidník,090 11
Rožkovany,Sabinov,082 71
Rožňava,Rožňava,048 01
Rožňavské Bystré,Rožňava,049 31
Rúbaň,Nové Zámky,941 36
Rudina,Kysucké Nové Mesto,023 31
Rudinka,Kysucké Nové Mesto,023 31
Rudinská,Kysucké Nové Mesto,023 31
Rudlov,Vranov nad Topľou,094 35
Rudná,Rožňava,048 01
Rudňany,Spišská Nová Ves,053 23
Rudnianska Lehota,Prievidza,972 26
Rudník,Košice - okolie,044 23
Rudník,Myjava,906 23
Rudno,Turčianske Teplice,038 22
Rudno nad Hronom,Žarnovica,966 51
Rumanová,Nitra,951 37
Rumince,Rimavská Sobota,980 50
Runina,Snina,067 65
Ruská,Michalovce,076 77
Ruská Bystrá,Sobrance,072 64
Ruská Kajňa,Humenné,094 07
Ruská Nová Ves,Prešov,080 05
Ruská Poruba,Humenné,094 08
Ruská Voľa,Vranov nad Topľou,094 31
Ruská Voľa n/Popr.,Stará Ľubovňa,065 42
Ruská Volová,Snina,067 72
Ruskov,Košice - okolie,044 19
Ruskovce,Sobrance,073 01
Ruskovce,Bánovce nad Bebravou,956 54
Ruský Hrabovec,Sobrance,072 64
Ruský Potok,Snina,067 66
Ružiná,Lučenec,985 52
Ružindol,Trnava,919 61
Ružomberok,Ružomberok,
Rybany,Bánovce nad Bebravou,956 36
Rybky,Senica,906 04
Rybník,Levice,935 23
Rybník,Revúca,982 65
Rychňava,Banská Štiavnica,969 01
Rykynčice,Krupina,962 55
Sabinov,Sabinov,083 01
Sačurov,Vranov nad Topľou,094 13
Sádočné,Považská Bystrica,018 16
Sady nad Torysou,Košice - okolie,044 41
Salka,Nové Zámky,943 61
Santovka,Levice,935 87
Sap,Dunajská Streda,930 06
Sása,Zvolen,962 62
Sása,Revúca,982 65
Sasinkovo,Hlohovec,920 65
Sazdice,Levice,935 85
Sebedín - Bečov,Banská Bystrica,974 01
Sebedražie,Prievidza,972 05
Sebechleby,Krupina,962 66
Seč,Prievidza,972 26
Sečianky,Veľký Krtíš,991 10
Sečovce,Trebišov,078 01
Sečovská Polianka,Vranov nad Topľou,094 14
Sedliacka Dubová,Dolný Kubín,027 55
Sedlice,Prešov,082 43
Sedliská,Vranov nad Topľou,094 09
Sedmerovec,Ilava,018 54
Sejkov,Sobrance,072 51
Sekule,Senica,908 80
Seľany,Veľký Krtíš,991 27
Selce,Krupina,962 51
Selce,Banská Bystrica,976 11
Selce,Poltár,980 13
Selec,Trenčín,913 36
Selice,Šaľa,925 72
Semerovo,Nové Zámky,941 32
Seňa,Košice - okolie,044 58
Senec,Senec,903 01
Seniakovce,Prešov,082 03
Senica,Senica,905 01
Senné,Michalovce,072 13
Senné,Veľký Krtíš,991 01
Senohrad,Krupina,962 43
Sereď,Galanta,926 01
Sielnica,Zvolen,962 31
Sihelné,Námestovo,029 46
Sihla,Brezno,976 53
Sikenica,Levice,937 01
Sikenička,Nové Zámky,943 59
Siladice,Hlohovec,920 52
Silica,Rožňava,049 52
Silická Brezová,Rožňava,049 11
Silická Jablonica,Rožňava,049 43
Sirk,Revúca,049 64
Sirník,Trebišov,076 03
Skačany,Partizánske,958 53
Skalica,Skalica,909 01
Skalité,Čadca,023 14
Skalka nad Váhom,Trenčín,913 31
Skároš,Košice - okolie,044 11
Skerešovo,Revúca,982 62
Sklabiná,Veľký Krtíš,991 05
Sklabiňa,Martin,038 03
Sklabinský Podzámok,Martin,038 03
Sklené,Turčianske Teplice,038 47
Sklené Teplice,Žiar nad Hronom,966 03
Skrabské,Vranov nad Topľou,094 33
Skýcov,Zlaté Moravce,951 85
Sládkovičovo,Galanta,925 21
Slančík,Košice - okolie,044 17
Slanec,Košice - okolie,044 17
Slanská Huta,Košice - okolie,044 17
Slanské Nové Mesto,Košice - okolie,044 18
Slaská,Žiar nad Hronom,966 22
Slatina,Levice,935 84
Slatina nad Bebravou,Bánovce nad Bebravou,956 53
Slatinka n/Bebravou,Bánovce nad Bebravou,956 53
Slatinské Lazy,Detva,962 25
Slatvina,Spišská Nová Ves,053 61
Slavec,Rožňava,049 11
Slavkovce,Michalovce,072 17
Slavnica,Ilava,018 54
Slavoška,Rožňava,049 34
Slavošovce,Rožňava,049 36
Sľažany,Zlaté Moravce,951 71
Slepčany,Zlaté Moravce,951 52
Sliač,Zvolen,
Sliepkovce,Michalovce,072 37
Slivník,Trebišov,076 12
Slizké,Rimavská Sobota,980 23
Slopná,Považská Bystrica,018 21
Slovany,Martin,038 43
Slovenská Kajňa,Vranov nad Topľou,094 02
Slovenská Ľupča,Banská Bystrica,976 13
Slovenská Nová Ves,Trnava,919 42
Slovenská Ves,Kežmarok,059 02
Slovenská Volová,Humenné,067 22
Slovenské Ďarmoty,Veľký Krtíš,991 07
Slovenské Kľačany,Veľký Krtíš,991 02
Slovenské Krivé,Humenné,067 13
Slovenské Nové Mesto,Trebišov,076 33
Slovenské Pravno,Turčianske Teplice,038 22
Slovenský Grob,Pezinok,900 26
Slovinky,Spišská Nová Ves,053 40
Smilno,Bardejov,086 33
Smižany,Spišská Nová Ves,053 11
Smolenice,Trnava,919 04
Smolinské,Senica,908 42
Smolnícka Huta,Gelnica,055 65
Smolník,Gelnica,055 66
Smrdáky,Senica,906 03
Smrečany,Liptovský Mikuláš,032 05
Snakov,Bardejov,086 06
Snežnica,Kysucké Nové Mesto,023 32
Snina,Snina,069 01
Soblahov,Trenčín,913 38
Soboš,Svidník,090 42
Sobotište,Senica,906 05
Sobrance,Sobrance,073 01
Socovce,Martin,038 43
Sokoľ,Košice - okolie,044 31
Sokoľany,Košice - okolie,044 57
Sokolce,Komárno,946 17
Sokolovce,Piešťany,922 31
Soľ,Vranov nad Topľou,094 35
Solčany,Topoľčany,956 17
Solčianky,Topoľčany,956 38
Soľnička,Trebišov,076 53
Soľník,Stropkov,090 31
Sološnica,Malacky,906 37
Somotor,Trebišov,076 35
Sopkovce,Humenné,067 22
Spišská Belá,Kežmarok,059 01
Spišská Nová Ves,Spišská Nová Ves,
Spišská Nová Ves-Novoveská Huta,Spišská Nová Ves,
Spišská Stará Ves,Kežmarok,061 01
Spišská Teplica,Poprad,059 34
Spišské Bystré,Poprad,059 18
Spišské Hanušovce,Kežmarok,059 04
Spišské Podhradie,Levoča,053 04
Spišské Tomášovce,Spišská Nová Ves,052 01
Spišské Vlachy,Spišská Nová Ves,053 61
Spišský Hrhov,Levoča,053 02
Spišský Hrušov,Spišská Nová Ves,053 63
Spišský Štiavnik,Poprad,059 14
Spišský Štvrtok,Levoča,053 14
Stakčín,Snina,067 61
Stakčínska Roztoka,Snina,067 61
Stanča,Trebišov,076 16
Stankovany,Ružomberok,034 92
Stankovce,Trebišov,076 61
Stará Bašta,Rimavská Sobota,980 34
Stará Bystrica,Čadca,023 04
Stará Halič,Lučenec,985 11
Stará Huta,Detva,962 25
Stará Kremnička,Žiar nad Hronom,965 01
Stará Lehota,Nové Mesto n.Váhom,916 35
Stará Lesná,Kežmarok,059 52
Stará Ľubovňa,Stará Ľubovňa,064 01
Stará Myjava,Myjava,907 01
Stará Turá,Nové Mesto n.Váhom,916 01
Stará Voda,Gelnica,053 34
Staré,Michalovce,072 23
Staré Hory,Banská Bystrica,
Starina,Stará Ľubovňa,065 46
Starý Hrádok,Levice,935 56
Starý Tekov,Levice,935 26
Staškov,Čadca,
Staškovce,Stropkov,090 23
Stebnícka Huta,Bardejov,086 33
Stebník,Bardejov,086 33
Stožok,Detva,
Stráňany,Stará Ľubovňa,065 33
Stráňavy,Žilina,013 25
Stráne pod Tatrami,Kežmarok,059 76
Stránska,Rimavská Sobota,982 51
Stránske,Žilina,013 13
Stratená,Rožňava,049 71
Stráža,Žilina,013 04
Strážne,Trebišov,076 52
Strážske,Michalovce,072 22
Strečno,Žilina,
Streda nad Bodrogom,Trebišov,076 31
Stredné Plachtince,Veľký Krtíš,991 24
Strekov,Nové Zámky,941 37
Strelníky,Banská Bystrica,976 55
Stretava,Michalovce,072 13
Stretavka,Michalovce,072 13
Streženice,Púchov,020 01
Strihovce,Snina,067 73
Stročín,Svidník,089 01
Stropkov,Stropkov,091 01
Studená,Rimavská Sobota,980 34
Studenec,Levoča,053 04
Studienka,Malacky,908 75
Stuľany,Bardejov,086 43
Stupava,Malacky,900 31
Stupné,Považská Bystrica,018 12
Sučany,Martin,038 52
Sudince,Krupina,962 71
Súdovce,Krupina,962 71
Suchá Dolina,Prešov,082 43
Suchá Hora,Tvrdošín,027 13
Suchá nad Parnou,Trnava,919 01
Sucháň,Veľký Krtíš,991 35
Suché,Michalovce,071 01
Suché Brezovo,Veľký Krtíš,991 03
Suchohrad,Malacky,900 64
Sukov,Medzilaborce,067 02
